URL,Date,Home Plate Umpire
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16278,6/6/2024,Traci Laycock
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16277,6/5/2024,Dustin Douglass
https://texaslonghorns.com/sports/softball/stats/2024/stanford/boxscore/16276,6/3/2024,Chad Stears
https://texaslonghorns.com/sports/softball/stats/2024/stanford/boxscore/16270,5/30/2024,Steve Gould
https://texaslonghorns.com/sports/softball/stats/2024/texas-am/boxscore/16269,5/26/2024,Leah Daume
https://texaslonghorns.com/sports/softball/stats/2024/texas-am/boxscore/16263,5/25/2024,Smokey Edds
https://texaslonghorns.com/sports/softball/stats/2024/texas-am/boxscore/16262,5/24/2024,Marty Abezetian
https://lionsports.net/sports/softball/stats/2024/alabama/boxscore/9068,5/19/2024,Erin Peterson
https://texaslonghorns.com/sports/softball/stats/2024/northwestern/boxscore/16260,5/19/2024,Tracy Laycock
https://lionsports.net/sports/softball/stats/2024/clemson/boxscore/9067,5/18/2024,Jason Smith
https://texaslonghorns.com/sports/softball/stats/2024/northwestern/boxscore/16258,5/18/2024,Ron Burkhart
https://lionsports.net/sports/softball/stats/2024/alabama/boxscore/9066,5/18/2024,James Colzie
https://lionsports.net/sports/softball/stats/2024/clemson/boxscore/9064,5/17/2024,Erin Peterson
https://texaslonghorns.com/sports/softball/stats/2024/siena/boxscore/16256,5/17/2024,Tracy Laycock
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16255,5/11/2024,Steve Gould
https://uiwcardinals.com/sports/softball/stats/2024/-2-southeastern-louisiana-university/boxscore/6845,5/10/2024,Brian Soule
https://nmstatesports.com/sports/softball/stats/2024/liberty/boxscore/17629,5/10/2024,Philip Freels
https://nmstatesports.com/sports/softball/stats/2024/western-kentucky/boxscore/17628,5/10/2024,Shane Mowdy
https://texaslonghorns.com/sports/softball/stats/2024/baylor/boxscore/16254,5/10/2024,Terry Holt
https://lionsports.net/sports/softball/stats/2024/uiw/boxscore/9063,5/10/2024,Brian Soule
https://nmstatesports.com/sports/softball/stats/2024/liberty/boxscore/17627,5/9/2024,Philip Freels
https://uiwcardinals.com/sports/softball/stats/2024/-1-mcneese-state-university/boxscore/6844,5/9/2024,Brian Soule
https://uiwcardinals.com/sports/softball/stats/2024/-2-southeastern-louisiana-university/boxscore/6842,5/9/2024,Hayes Lesher
https://mcneesesports.com/sports/softball/stats/2024/no-3-nicholls/boxscore/12669,5/9/2024,Jay Grigsby
https://geauxcolonels.com/sports/softball/stats/2024/-1-mcneese/boxscore/10180,5/9/2024,Jay Grigsby
https://lionsports.net/sports/softball/stats/2024/uiw/boxscore/9062,5/9/2024,Hayes Lesher
https://texaslonghorns.com/sports/softball/stats/2024/texas-tech/boxscore/16143,5/9/2024,Megan Rabin
https://ulmwarhawks.com/sports/softball/stats/2024/south-alabama/boxscore/15203,5/9/2024,Destini Robinson
https://mcneesesports.com/sports/softball/stats/2024/no-4-incarnate-word/boxscore/12670,5/9/2024,Brian Soule
https://tsusports.com/sports/softball/stats/2024/bethune-cookman/boxscore/5196,5/9/2024,Johnny Paz
https://utepminers.com/sports/softball/stats/2024/liberty/boxscore/11669,5/9/2024,Robert Marcialis
